file,accuracy,method,cost,output_path
0,100.0,buddy,741.6253329401883,../data/solutions/puzzle4x4\0.png
1,100.0,greedy,239.56183362294564,../data/solutions/puzzle4x4\1.png
10,100.0,greedy,313.28020872720964,../data/solutions/puzzle4x4\10.png
100,100.0,buddy,446.5555582652275,../data/solutions/puzzle4x4\100.png
101,100.0,greedy,411.61905924117735,../data/solutions/puzzle4x4\101.png
102,0.0,greedy,290.9275777776991,../data/solutions/puzzle4x4\102.png
103,100.0,buddy,514.7714370274832,../data/solutions/puzzle4x4\103.png
104,100.0,greedy,499.199347838951,../data/solutions/puzzle4x4\104.png
105,100.0,buddy,365.0801137455852,../data/solutions/puzzle4x4\105.png
106,100.0,buddy,650.2241895499772,../data/solutions/puzzle4x4\106.png
107,100.0,buddy,393.1117109500041,../data/solutions/puzzle4x4\107.png
108,100.0,buddy,312.95830502928607,../data/solutions/puzzle4x4\108.png
109,100.0,buddy,487.63217426073595,../data/solutions/puzzle4x4\109.png
11,100.0,buddy,488.7890993125696,../data/solutions/puzzle4x4\11.png
12,100.0,buddy,295.820266598584,../data/solutions/puzzle4x4\12.png
13,100.0,buddy,385.5259496829351,../data/solutions/puzzle4x4\13.png
14,100.0,buddy,519.2633427607025,../data/solutions/puzzle4x4\14.png
15,100.0,buddy,406.2125740303546,../data/solutions/puzzle4x4\15.png
16,81.25,greedy,546.3444531723007,../data/solutions/puzzle4x4\16.png
17,100.0,buddy,388.3576989806579,../data/solutions/puzzle4x4\17.png
18,6.25,greedy,792.3999388695206,../data/solutions/puzzle4x4\18.png
19,100.0,greedy,384.5620985793271,../data/solutions/puzzle4x4\19.png
2,100.0,buddy,395.23990165527385,../data/solutions/puzzle4x4\2.png
20,100.0,buddy,502.80766155781714,../data/solutions/puzzle4x4\20.png
21,100.0,greedy,225.97708346832377,../data/solutions/puzzle4x4\21.png
22,100.0,buddy,305.0550279186927,../data/solutions/puzzle4x4\22.png
23,100.0,buddy,431.28752684678267,../data/solutions/puzzle4x4\23.png
24,100.0,buddy,300.7600942650187,../data/solutions/puzzle4x4\24.png
25,0.0,greedy,189.37662220908405,../data/solutions/puzzle4x4\25.png
26,100.0,greedy,358.93991015343664,../data/solutions/puzzle4x4\26.png
27,100.0,greedy,339.68169858075396,../data/solutions/puzzle4x4\27.png
28,100.0,buddy,428.14094511842706,../data/solutions/puzzle4x4\28.png
29,100.0,greedy,477.47163631693064,../data/solutions/puzzle4x4\29.png
3,6.25,buddy,375.61961421503986,../data/solutions/puzzle4x4\3.png
30,0.0,buddy,261.79380521237067,../data/solutions/puzzle4x4\30.png
31,0.0,greedy,149.57298060066296,../data/solutions/puzzle4x4\31.png
32,6.25,buddy,217.919560360849,../data/solutions/puzzle4x4\32.png
